DepDelay,Origin,Dest,CRSDepTime,Distance,ArrDel15,ArrDelay,DepHour
-3.0,DCA,CMH,1016,323.0,0.0,-16.0,10
17.0,OGG,HNL,1530,100.0,0.0,6.0,15
-4.0,DFW,FSM,1645,227.0,0.0,-12.0,16
0.0,SNA,SEA,715,978.0,0.0,11.0,7
-4.0,MSY,IAH,935,305.0,0.0,-14.0,9
-12.0,PHL,SYR,1415,228.0,0.0,-16.0,14
14.0,CVG,LAS,610,1678.0,0.0,-2.0,6
-13.0,DTW,LGA,1010,502.0,0.0,-14.0,10
-1.0,ATL,IAD,1720,534.0,0.0,-4.0,17
11.0,PHL,SEA,1848,2378.0,0.0,-9.0,18
-4.0,IND,EWR,1020,645.0,0.0,-4.0,10
-2.0,ORD,BZN,914,1185.0,0.0,-17.0,9
-5.0,TUS,LAS,500,365.0,0.0,-15.0,5
22.0,SMF,DEN,1055,909.0,1.0,17.0,10
-6.0,SLC,DFW,1602,989.0,0.0,-12.0,16
21.0,LGA,ORD,1230,733.0,0.0,-17.0,12
46.0,DFW,JAX,2040,918.0,1.0,53.0,20
4.0,ORD,PHX,840,1440.0,1.0,19.0,8
7.0,LAX,STL,540,1592.0,0.0,-3.0,5
-5.0,CHS,JFK,1229,636.0,0.0,11.0,12
8.0,FLL,SJU,1219,1046.0,0.0,-1.0,12
9.0,SAT,DEN,1636,794.0,1.0,20.0,16
63.0,LAS,GEG,1345,806.0,1.0,47.0,13
-10.0,PIT,DTW,1220,201.0,0.0,-15.0,12
6.0,TPA,BNA,938,612.0,0.0,2.0,9
0.0,SFO,RDD,1255,199.0,0.0,-6.0,12
-2.0,IAH,AMA,2009,517.0,0.0,-15.0,20
-1.0,ATL,LIT,1200,453.0,0.0,-8.0,12
-3.0,ATL,ORD,1059,606.0,0.0,-23.0,10
-8.0,LSE,MSP,1615,119.0,0.0,-24.0,16
-6.0,IND,JAX,1541,687.0,0.0,-32.0,15
-3.0,IAH,PHL,1330,1325.0,0.0,-15.0,13
-8.0,BNA,DEN,1731,1014.0,0.0,11.0,17
35.0,JAX,JFK,1908,828.0,0.0,14.0,19
